,,,impression,click,web to app auto redirect,branch cta view,sms sent,open,install,reinstall,web session start,pageview,commerce event,custom event,content event,user lifecycle event
dimension,format,definition,"Loading of a user generated and placed impression pixel for the purpose of creating an attributing event from a marketing effort. By this definition, no automated renders from Branch (e.g. Journeys, Deepviews) are impressions, nor are views of content in the app.",A user initiated action of tapping on a Branch link or html element directly in front of a Branch link,"A web to app auto redirect works by simulating the action of a user clicking a link, but without user interaction. Technically this is implemented using ""open_app=true"" in our web to app products. Currently, this only exists on Journeys (+ banners + Web SDK Deepviews).","The loading of a visual element or webpage that includes a Branch-created CTA, powered by a Branch link. Today, this includes loading Journeys and Deepviews.",An successfully triggered call to send an SMS (not necessarily receipt of the SMS),"A mobile app launch that is not an install (ie not a first time app launch for that persona). An ""open"" ends when an app is backgrounded or closed.",The first time an app launches for a given IDFA/AAID. (Excludes cases where the IDFA is reset with the app still installed.),When an app is deleted then re-installed on the same device (same device is defined as same IDFA/AAID).,A website launch (ie first page view). A session is considered to end after 30 minutes of inactivity (ie not launching a page or triggering an event).,"A pageview is the loading of a single page for a given website which is triggered more specifically, by calling branch.init() or branch.track('pageview')","A standard event where a customer is on a journey to pay money to a business. It excludes views, but includes adding to cart through to purchasing. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.]",Custom event is a non-standard user tracked event. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.],"A standard event involving content that may or may not be a product, but excludes events where a customer is on a journey to pay money to a business (adding to cart to purchasing). [Uses Branch event tracking code. Each event within it is a point in time action.]",A standard event not involving content. [Uses Branch event tracking code. Each event within it is a point in time action.]
,,,"total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique, revenue","total, unique",,
last_cta_view_data_tilde_keyword_id,string,"(coming soon)",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_agency,string,"(coming soon)",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_optimization_model,string,"(coming soon)",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_secondary_ad_format,string,"(coming soon)",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_plus_via_features,"enum { EMAIL, ADS, DESKTOP_JOURNEYS, MOBILE_JOURNEYS, DESKTOP_DEEPVIEWS, MOBILE_DEEPVIEWS, SOCIAL, QUICK_LINKS }","All Branch features (determined by Branch) which were determined, via attribution, to have led to this event. For example, if an email link click leads to a Journeys CTA view, the published eo_branch_cta_view will have +via_features: [EMAIL, JOURNEYS]",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_dollar_3p,string,"advertising partner short-code (e.g. e_rs) specified for the last Branch CTA view",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_plus_web_format,"enum { AMP, INSTANT_ARTICLES }","set if an event originated with a Branch CTA view on Google AMP or Facebook Instant Article",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
last_cta_view_data_custom_fields,string,"stringified JSON representing custom data specified for the last Branch CTA view e.g. {foo:true}",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
first_event_for_user,boolean,"if this is the first time for this persona that this event has been triggered",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
deep_linked,boolean,"true if the current app or web session resulted in the user being deep linked",n,n,n,n,n,y,y,y,y,y,y,y,y,y,
user_data_os,"enum { AMAZON_FIRE, ANDROID, BADA, BEOS, BLACKBERRY, BSD, CENTOS, CHROMIUM_OS, DEBIAN, DRAGONFLY, FEDORA, FIREFOX_OS, FREEBSD, GENTOO, GNU, IOS, JOLI, KUBUNTU, LINUX, MAC_OS, MANDRIVA, MEEGO, MINT, NETBSD, NINTENDO, OPENBSD, OS_2, OTHER, PLAYSTATION, RIM_TABLET_OS, ROBOTS, SAILFISH, SLACKWARE, SOLARIS, SUSE, SYMBIAN, TIZEN, UBUNTU, UNIX, WINDOWS, WINDOWS_PHONE, ZENWALK }","os of the device where the event occurred. note that robots includes web and app robots for easy filtering.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_os_version,string,"os version of the device where the event occurred",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_environment,"enum { FULL_WEB, FULL_APP, IMESSAGE_APP, INSTANT_APP }","runtime environment where the event occurred, which can distinguish between e.g. full app vs instant app",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_platform,"enum { DESKTOP_WEB, IOS_WEB, IOS_APP, ANDROID_WEB, ANDROID_APP, OTHER, ROBOT }","convenience dimension that allows users to easily see web vs app, desktop vs mobile, and iOS vs Android vs other",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_aaid,string,"Android/Google advertising id of the device where the event occurred",n,y,n,n,n,y,y,y,n,n,y,y,y,y,
user_data_idfa,string,"iOS advertising id of the device where the event occurred",n,y,n,n,n,y,y,y,n,n,y,y,y,y,
user_data_idfv,string,"iOS vendor id of the device where the event occurred. Scoped to a vendor e.g. Facebook: idfv is the same for Facebook and Messenger but different Twitter.",n,y,n,n,n,y,y,y,n,n,y,y,y,y,
user_data_android_id,string,"Android hardware id. Can only be reset by wiping the device.",n,y,n,n,n,y,y,y,n,n,y,y,y,y,
user_data_limit_ad_tracking,boolean,"true if the partner has opted to not be tracked by advertisers. on iOS 10+, accompanied by idfa of 0s",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
